method,uri,controller,action,middleware_permission,module_gate,controller_check_permissions,classification,notes
PATCH,/api/v1/recipes/{recipeId}/lines/{lineId},App\Modules\Catalog\Presentation\Controllers\RecipeLineController,update,composite-items.manage-recipes,CompositeItems,,MIDDLEWARE,
DELETE,/api/v1/recipes/{recipeId}/lines/{lineId},App\Modules\Catalog\Presentation\Controllers\RecipeLineController,destroy,composite-items.manage-recipes,CompositeItems,,MIDDLEWARE,
GET|HEAD,/api/v1/composite-items/{compositeItemId}/variants,App\Modules\Catalog\Presentation\Controllers\CompositeItemVariantController,index,composite-items.update,CompositeItems,,MIDDLEWARE,
POST,/api/v1/composite-items/{compositeItemId}/variants,App\Modules\Catalog\Presentation\Controllers\CompositeItemVariantController,store,composite-items.update,CompositeItems,formrequest[StoreVariantRequest]:CHECK:composite-items.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/variants/{id},App\Modules\Catalog\Presentation\Controllers\CompositeItemVariantController,update,composite-items.update,CompositeItems,,MIDDLEWARE,
DELETE,/api/v1/variants/{id},App\Modules\Catalog\Presentation\Controllers\CompositeItemVariantController,destroy,composite-items.update,CompositeItems,,MIDDLEWARE,
POST,/api/v1/composite-items/{compositeItemId}/modifier-groups,App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,assignToItem,composite-items.update,CompositeItems,,MIDDLEWARE,
DELETE,/api/v1/composite-items/{compositeItemId}/modifier-groups/{modifierGroupId},App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,removeFromItem,composite-items.update,CompositeItems,,MIDDLEWARE,
GET|HEAD,/api/v1/modifier-groups,App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,index,modifier-groups.view,CompositeItems,,MIDDLEWARE,
POST,/api/v1/modifier-groups,App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,store,modifier-groups.manage,CompositeItems,formrequest[StoreModifierGroupRequest]:CHECK:modifier-groups.manage,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/modifier-groups/{id},App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,show,modifier-groups.view,CompositeItems,,MIDDLEWARE,
PATCH,/api/v1/modifier-groups/{id},App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,update,modifier-groups.manage,CompositeItems,,MIDDLEWARE,
DELETE,/api/v1/modifier-groups/{id},App\Modules\Catalog\Presentation\Controllers\ModifierGroupController,destroy,modifier-groups.manage,CompositeItems,,MIDDLEWARE,
POST,/api/v1/modifier-groups/{groupId}/modifiers,App\Modules\Catalog\Presentation\Controllers\ModifierController,store,modifier-groups.manage,CompositeItems,formrequest[StoreModifierRequest]:CHECK:modifier-groups.manage,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/modifiers/{id},App\Modules\Catalog\Presentation\Controllers\ModifierController,update,modifier-groups.manage,CompositeItems,,MIDDLEWARE,
DELETE,/api/v1/modifiers/{id},App\Modules\Catalog\Presentation\Controllers\ModifierController,destroy,modifier-groups.manage,CompositeItems,,MIDDLEWARE,
GET|HEAD,/api/v1/product-attributes,App\Modules\Catalog\Presentation\Controllers\AttributeController,index,catalog.attributes.view,,,MIDDLEWARE,
POST,/api/v1/product-attributes,App\Modules\Catalog\Presentation\Controllers\AttributeController,store,catalog.attributes.create,,formrequest[CreateAttributeRequest]:CHECK:catalog.attributes.create,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/product-attributes/{attributeId},App\Modules\Catalog\Presentation\Controllers\AttributeController,destroy,catalog.attributes.delete,,,MIDDLEWARE,
GET|HEAD,/api/v1/product-attributes/{attributeId}/values,App\Modules\Catalog\Presentation\Controllers\AttributeController,indexValues,catalog.attributes.view,,,MIDDLEWARE,
POST,/api/v1/product-attributes/{attributeId}/values,App\Modules\Catalog\Presentation\Controllers\AttributeController,storeValue,catalog.attributes.update,,formrequest[AddAttributeValueRequest]:CHECK:catalog.attributes.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/products/{productId}/variants,App\Modules\Catalog\Presentation\Controllers\ProductVariantController,index,catalog.variants.view,,,MIDDLEWARE,
POST,/api/v1/products/{productId}/variants,App\Modules\Catalog\Presentation\Controllers\ProductVariantController,store,catalog.variants.create,,formrequest[CreateVariantRequest]:CHECK:catalog.variants.create,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/products/{productId}/variants/generate-matrix,App\Modules\Catalog\Presentation\Controllers\ProductVariantController,generateMatrix,catalog.variants.create,,formrequest[GenerateMatrixRequest]:CHECK:catalog.variants.create,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/product-variants/{id},App\Modules\Catalog\Presentation\Controllers\ProductVariantController,update,catalog.variants.update,,formrequest[UpdateVariantRequest]:CHECK:catalog.variants.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/product-variants/{id},App\Modules\Catalog\Presentation\Controllers\ProductVariantController,destroy,catalog.variants.delete,,,MIDDLEWARE,
GET|HEAD,/api/v1/labels/formats,App\Modules\Catalog\Presentation\Controllers\VariantLabelController,formats,catalog.labels.print,,,MIDDLEWARE,
POST,/api/v1/labels/variants/prepare,App\Modules\Catalog\Presentation\Controllers\VariantLabelController,prepare,catalog.labels.print,,formrequest[PrepareLabelsRequest]:CHECK:catalog.labels.print,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/labels/variants/pdf,App\Modules\Catalog\Presentation\Controllers\VariantLabelController,pdf,catalog.labels.print,,formrequest[GenerateLabelPdfRequest]:CHECK:catalog.labels.print,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/income,App\Modules\Income\Presentation\Controllers\IncomeController,index,income.view,,,MIDDLEWARE,
POST,/api/v1/income,App\Modules\Income\Presentation\Controllers\IncomeController,store,income.create,,formrequest[IncomeRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/income/{id},App\Modules\Income\Presentation\Controllers\IncomeController,show,income.view,,,MIDDLEWARE,
PUT|PATCH,/api/v1/income/{id},App\Modules\Income\Presentation\Controllers\IncomeController,update,income.update,,formrequest[IncomeRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/income/{id},App\Modules\Income\Presentation\Controllers\IncomeController,destroy,income.delete,,,MIDDLEWARE,
POST,/api/v1/income/{id}/post,App\Modules\Income\Presentation\Controllers\IncomeController,post,income.post,,,MIDDLEWARE,
GET|HEAD,/api/v1/replenishment-requests,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentRequestController,index,replenishment.view,,,MIDDLEWARE,
POST,/api/v1/replenishment-requests,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentRequestController,store,replenishment.create,,formrequest[CaptureReplenishmentRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/replenishment-requests/actions/create-transfer,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentActionController,createTransfer,replenishment.process,,controller:inventory.transfers.create | formrequest[CreateTransferFromRequestsRequest]:OPEN(returns true),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/replenishment-requests/actions/create-po,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentActionController,createPo,replenishment.process,,controller:purchase-orders.create | formrequest[CreatePoFromRequestsRequest]:OPEN(returns true),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/replenishment-requests/actions/reject,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentActionController,reject,replenishment.process,,formrequest[RejectRequestsRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/replenishment-requests/{id}/cancel,App\Modules\Replenishment\Presentation\Controllers\ReplenishmentRequestController,cancel,,,controller:replenishment.process,CONTROLLER,
GET|HEAD,/api/v1/taxation/configurations,App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,index,,,,AUTH_ONLY,
GET|HEAD,/api/v1/taxation/configurations/capabilities,App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,capabilities,,,,AUTH_ONLY,
GET|HEAD,/api/v1/taxation/configurations/document-types,App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,documentTypes,,,,AUTH_ONLY,
POST,/api/v1/taxation/configurations/reorder,App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,reorder,taxation.tax_configurations.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/taxation/configurations/{id},App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,show,,,,AUTH_ONLY,
POST,/api/v1/taxation/configurations,App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,store,taxation.tax_configurations.manage,,,MIDDLEWARE,
PATCH,/api/v1/taxation/configurations/{id},App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,update,taxation.tax_configurations.manage,,,MIDDLEWARE,
DELETE,/api/v1/taxation/configurations/{id},App\Modules\Taxation\Presentation\Controllers\TaxConfigurationController,destroy,taxation.tax_configurations.manage,,,MIDDLEWARE,
POST,/api/v1/withholding/preview,App\Modules\Taxation\Presentation\Controllers\WithholdingPreviewController,preview,,,formrequest[CalculateWithholdingRequest]:OPEN(returns true),AUTH_ONLY,FormRequest App\Modules\Taxation\Presentation\Requests\CalculateWithholdingRequest::authorize() returns true unconditionally (no permission check)
GET|HEAD,/api/v1/withholding/rules,App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,index,taxation.withholding_rules.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/withholding/rules/{id},App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,show,taxation.withholding_rules.manage,,,MIDDLEWARE,
POST,/api/v1/withholding/rules,App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,store,taxation.withholding_rules.manage,,formrequest[CreateWithholdingRuleRequest]:CHECK:taxation.withholding_rules.manage,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
PATCH,/api/v1/withholding/rules/{id},App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,update,taxation.withholding_rules.manage,,formrequest[UpdateWithholdingRuleRequest]:CHECK:taxation.withholding_rules.manage,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/withholding/rules/{id}/deactivate,App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,deactivate,taxation.withholding_rules.manage,,,MIDDLEWARE,
DELETE,/api/v1/withholding/rules/{id},App\Modules\Taxation\Presentation\Controllers\WithholdingTaxRuleController,destroy,taxation.withholding_rules.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/withholding/certificates,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,index,withholding.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/withholding/certificates/export-tej-batch,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,downloadBatchTEJXML,withholding.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/withholding/certificates/{id},App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,show,withholding.view,,,MIDDLEWARE,
POST,/api/v1/withholding/certificates,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,store,withholding.create,,formrequest[CreateWithholdingCertificateRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/withholding/certificates/{id}/issue,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,issue,withholding.update,,,MIDDLEWARE,
POST,/api/v1/withholding/certificates/{id}/void,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,void,withholding.update,,formrequest[VoidCertificateRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/withholding/certificates/{id}/submit-tej,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,submitTEJ,withholding.update,,formrequest[SubmitToTEJRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/withholding/certificates/{id}/download-pdf,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,downloadPDF,withholding.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/withholding/certificates/{id}/download-tej-xml,App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,downloadTEJXML,withholding.view,,,MIDDLEWARE,
DELETE,/api/v1/withholding/certificates/{id},App\Modules\Taxation\Presentation\Controllers\WithholdingCertificateController,destroy,withholding.delete,,,MIDDLEWARE,
GET|HEAD,/api/v1/sales-withholding,App\Modules\Taxation\Presentation\Controllers\SalesWithholdingTrackingController,index,invoices.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/sales-withholding/{id},App\Modules\Taxation\Presentation\Controllers\SalesWithholdingTrackingController,show,invoices.view,,,MIDDLEWARE,
PATCH,/api/v1/sales-withholding/{id}/certificate-received,App\Modules\Taxation\Presentation\Controllers\SalesWithholdingTrackingController,markCertificateReceived,invoices.update,,formrequest[MarkCertificateReceivedRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/documents/{documentId}/record-withholding,App\Modules\Taxation\Presentation\Controllers\SalesWithholdingTrackingController,recordWithholding,invoices.update,,formrequest[RecordSalesWithholdingRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/vat/periods,App\Modules\Taxation\Presentation\Controllers\VatPeriodController,index,reports.financial,,,MIDDLEWARE,
POST,/api/v1/vat/periods/generate,App\Modules\Taxation\Presentation\Controllers\VatPeriodController,generate,reports.manage,,formrequest[GenerateVatPeriodsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/vat/periods/{id},App\Modules\Taxation\Presentation\Controllers\VatPeriodController,show,reports.financial,,,MIDDLEWARE,
POST,/api/v1/vat/periods/{id}/close,App\Modules\Taxation\Presentation\Controllers\VatPeriodController,close,reports.manage,,,MIDDLEWARE,
POST,/api/v1/vat/periods/{id}/reopen,App\Modules\Taxation\Presentation\Controllers\VatPeriodController,reopen,reports.manage,,,MIDDLEWARE,
POST,/api/v1/vat/periods/{id}/file,App\Modules\Taxation\Presentation\Controllers\VatPeriodController,file,reports.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/vat/reports/summary,App\Modules\Taxation\Presentation\Controllers\VatReportController,summary,reports.financial,,formrequest[VatReportRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/vat/reports/{periodId}/summary,App\Modules\Taxation\Presentation\Controllers\VatReportController,periodSummary,reports.financial,,,MIDDLEWARE,
GET|HEAD,/api/v1/vat/reports/{periodId}/export-formats,App\Modules\Taxation\Presentation\Controllers\VatReportController,exportFormats,reports.financial,,,MIDDLEWARE,
GET|HEAD,/api/v1/vat/reports/{periodId}/export/{format},App\Modules\Taxation\Presentation\Controllers\VatReportController,export,reports.financial,,,MIDDLEWARE,
POST,/api/v1/documents/auto-save,App\Modules\Document\Presentation\Controllers\DraftController,autoSave,documents.update,,formrequest[AutoSaveDraftRequest]:CHECK(non-permission-string),MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/documents,App\Modules\Document\Presentation\Controllers\DocumentController,indexAll,documents.view,,,MIDDLEWARE,
POST,/api/v1/documents/{document}/revert,App\Modules\Document\Presentation\Controllers\DocumentController,revert,documents.update,,controller:revert,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
GET|HEAD,/api/v1/documents/{document},App\Modules\Document\Presentation\Controllers\DocumentController,showAny,documents.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/quotes,App\Modules\Document\Presentation\Controllers\QuoteController,index,quotes.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/quotes/{quote},App\Modules\Document\Presentation\Controllers\QuoteController,show,quotes.view,,,MIDDLEWARE,
POST,/api/v1/quotes,App\Modules\Document\Presentation\Controllers\QuoteController,store,quotes.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/quotes/{quote},App\Modules\Document\Presentation\Controllers\QuoteController,update,quotes.update,,formrequest[UpdateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/quotes/{quote},App\Modules\Document\Presentation\Controllers\QuoteController,destroy,quotes.delete,,,MIDDLEWARE,
POST,/api/v1/quotes/{quote}/confirm,App\Modules\Document\Presentation\Controllers\QuoteController,confirm,quotes.update,,,MIDDLEWARE,
POST,/api/v1/quotes/{quote}/convert-to-order,App\Modules\Document\Presentation\Controllers\DocumentConversionController,convertQuoteToOrder,quotes.convert,,,MIDDLEWARE,
GET|HEAD,/api/v1/quotes/{quote}/check-expiry,App\Modules\Document\Presentation\Controllers\DocumentConversionController,checkQuoteExpiry,quotes.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/orders,App\Modules\Document\Presentation\Controllers\SalesOrderController,index,orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/orders/{order},App\Modules\Document\Presentation\Controllers\SalesOrderController,show,orders.view,,,MIDDLEWARE,
POST,/api/v1/orders,App\Modules\Document\Presentation\Controllers\SalesOrderController,store,orders.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/orders/{order},App\Modules\Document\Presentation\Controllers\SalesOrderController,update,orders.update,,formrequest[UpdateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/orders/{order},App\Modules\Document\Presentation\Controllers\SalesOrderController,destroy,orders.delete,,,MIDDLEWARE,
POST,/api/v1/orders/{order}/confirm,App\Modules\Document\Presentation\Controllers\SalesOrderController,confirm,orders.confirm,,,MIDDLEWARE,
POST,/api/v1/orders/{order}/convert-to-invoice,App\Modules\Document\Presentation\Controllers\DocumentConversionController,convertOrderToInvoice,invoices.create,,,MIDDLEWARE,
POST,/api/v1/orders/{order}/convert-to-delivery,App\Modules\Document\Presentation\Controllers\DocumentConversionController,convertOrderToDelivery,deliveries.create,,,MIDDLEWARE,
GET|HEAD,/api/v1/orders/{order}/invoice-status,App\Modules\Document\Presentation\Controllers\DocumentConversionController,checkOrderInvoiceStatus,orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/invoices,App\Modules\Document\Presentation\Controllers\InvoiceController,index,invoices.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/invoices/{invoice},App\Modules\Document\Presentation\Controllers\InvoiceController,show,invoices.view,,,MIDDLEWARE,
POST,/api/v1/invoices,App\Modules\Document\Presentation\Controllers\InvoiceController,store,invoices.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/invoices/{invoice},App\Modules\Document\Presentation\Controllers\InvoiceController,update,invoices.update,,formrequest[UpdateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/invoices/{invoice},App\Modules\Document\Presentation\Controllers\InvoiceController,destroy,invoices.delete,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/confirm,App\Modules\Document\Presentation\Controllers\InvoiceController,confirm,invoices.update,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/post,App\Modules\Document\Presentation\Controllers\InvoiceController,post,invoices.post,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/confirm-deliveries-and-post,App\Modules\Document\Presentation\Controllers\InvoiceController,confirmDeliveriesAndPost,invoices.post,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/create-delivery-and-post,App\Modules\Document\Presentation\Controllers\InvoiceController,createDeliveryAndPost,invoices.post,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/close-with-tolerance,App\Modules\Document\Presentation\Controllers\InvoiceController,closeWithTolerance,payments.allocate,,,MIDDLEWARE,
POST,/api/v1/invoices/{id}/create-credit-note,App\Modules\Document\Presentation\Controllers\DocumentConversionController,convertInvoiceToCreditNote,credit-notes.create,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/cancel,App\Modules\Document\Presentation\Controllers\RefundController,cancelInvoice,invoices.cancel,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/credit-full,App\Modules\Document\Presentation\Controllers\RefundController,createFullCreditNote,credit-notes.create,,,MIDDLEWARE,
POST,/api/v1/invoices/{invoice}/credit-partial,App\Modules\Document\Presentation\Controllers\RefundController,createPartialCreditNote,credit-notes.create,,,MIDDLEWARE,
GET|HEAD,/api/v1/invoices/{invoice}/can-cancel,App\Modules\Document\Presentation\Controllers\RefundController,checkCancellable,invoices.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/invoices/{invoice}/can-credit,App\Modules\Document\Presentation\Controllers\RefundController,checkCreditable,invoices.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/invoices/{invoice}/credit-summary,App\Modules\Document\Presentation\Controllers\RefundController,getCreditNoteSummary,invoices.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/credit-notes,App\Modules\Document\Presentation\Controllers\CreditNoteController,index,credit-notes.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/credit-notes/{creditNote},App\Modules\Document\Presentation\Controllers\CreditNoteController,show,credit-notes.view,,,MIDDLEWARE,
POST,/api/v1/credit-notes,App\Modules\Document\Presentation\Controllers\CreditNoteController,store,credit-notes.create,,,MIDDLEWARE,
POST,/api/v1/credit-notes/{id}/confirm,App\Modules\Document\Presentation\Controllers\CreditNoteController,confirm,credit-notes.create,,,MIDDLEWARE,
POST,/api/v1/credit-notes/{id}/post,App\Modules\Document\Presentation\Controllers\CreditNoteController,post,credit-notes.post,,,MIDDLEWARE,
POST,/api/v1/credit-notes/{creditNote}/cancel,App\Modules\Document\Presentation\Controllers\RefundController,cancelCreditNote,credit-notes.cancel,,,MIDDLEWARE,
GET|HEAD,/api/v1/purchase-orders,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,index,purchase-orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/purchase-orders/{purchaseOrder},App\Modules\Document\Presentation\Controllers\PurchaseOrderController,show,purchase-orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/purchase-orders/{purchaseOrder}/receipt-lines,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,receiptLines,documents.view,,,MIDDLEWARE,
POST,/api/v1/purchase-orders,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,store,purchase-orders.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/purchase-orders/{purchaseOrder},App\Modules\Document\Presentation\Controllers\PurchaseOrderController,update,purchase-orders.update,,formrequest[UpdateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/purchase-orders/{purchaseOrder},App\Modules\Document\Presentation\Controllers\PurchaseOrderController,destroy,purchase-orders.delete,,,MIDDLEWARE,
POST,/api/v1/purchase-orders/{purchaseOrder}/confirm,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,confirm,purchase-orders.confirm,,,MIDDLEWARE,
POST,/api/v1/purchase-orders/{purchaseOrder}/receive,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,receive,purchase-orders.receive,,formrequest[ReceiveGoodsRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/purchase-orders/{purchaseOrder}/receipt-status,App\Modules\Document\Presentation\Controllers\PurchaseOrderController,receiptStatus,purchase-orders.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/delivery-notes,App\Modules\Document\Presentation\Controllers\DeliveryNoteController,index,deliveries.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/delivery-notes/uninvoiced,App\Modules\Document\Presentation\Controllers\DeliveryNoteController,uninvoiced,deliveries.view,Sales,,MIDDLEWARE,
GET|HEAD,/api/v1/delivery-notes/uninvoiced/{partner},App\Modules\Document\Presentation\Controllers\DeliveryNoteController,uninvoicedForPartner,deliveries.view,Sales,,MIDDLEWARE,
GET|HEAD,/api/v1/delivery-notes/{deliveryNote},App\Modules\Document\Presentation\Controllers\DeliveryNoteController,show,deliveries.view,,,MIDDLEWARE,
POST,/api/v1/delivery-notes,App\Modules\Document\Presentation\Controllers\DeliveryNoteController,store,deliveries.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/delivery-notes/{deliveryNote}/confirm,App\Modules\Document\Presentation\Controllers\DeliveryNoteController,confirm,deliveries.confirm,,,MIDDLEWARE,
POST,/api/v1/delivery-notes/consolidate-to-invoice,App\Modules\Document\Presentation\Controllers\DocumentConversionController,createInvoiceFromDeliveryNotes,invoices.create,Sales,,MIDDLEWARE,
GET|HEAD,/api/v1/return-notes,App\Modules\Document\Presentation\Controllers\ReturnNoteController,index,deliveries.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/return-notes/{returnNote},App\Modules\Document\Presentation\Controllers\ReturnNoteController,show,deliveries.view,,,MIDDLEWARE,
POST,/api/v1/return-notes,App\Modules\Document\Presentation\Controllers\ReturnNoteController,store,deliveries.create,,formrequest[CreateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/return-notes/{returnNote},App\Modules\Document\Presentation\Controllers\ReturnNoteController,update,deliveries.edit,,formrequest[UpdateDocumentRequest]:OPEN(returns true),MIDDLEWARE,
DELETE,/api/v1/return-notes/{returnNote},App\Modules\Document\Presentation\Controllers\ReturnNoteController,destroy,deliveries.delete,,,MIDDLEWARE,
POST,/api/v1/return-notes/{returnNote}/confirm,App\Modules\Document\Presentation\Controllers\ReturnNoteController,confirm,deliveries.confirm,,,MIDDLEWARE,
GET|HEAD,/api/v1/documents/{document}/additional-costs,App\Http\Controllers\Api\DocumentAdditionalCostController,index,documents.view,,,MIDDLEWARE,
POST,/api/v1/documents/{document}/additional-costs,App\Http\Controllers\Api\DocumentAdditionalCostController,store,purchase-orders.update,,,MIDDLEWARE,
PATCH,/api/v1/documents/{document}/additional-costs/{cost},App\Http\Controllers\Api\DocumentAdditionalCostController,update,purchase-orders.update,,,MIDDLEWARE,
DELETE,/api/v1/documents/{document}/additional-costs/{cost},App\Http\Controllers\Api\DocumentAdditionalCostController,destroy,purchase-orders.update,,,MIDDLEWARE,
GET|HEAD,/api/v1/documents/{document}/landed-cost-breakdown,App\Http\Controllers\Api\DocumentAdditionalCostController,landedCostBreakdown,documents.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/documents/{document}/correcting-entries,App\Modules\Document\Presentation\Controllers\CorrectingEntryController,index,documents.correct,,,MIDDLEWARE,
POST,/api/v1/documents/{document}/correcting-entries,App\Modules\Document\Presentation\Controllers\CorrectingEntryController,store,documents.correct,,formrequest[CreateCorrectingEntryRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/correcting-entries/{correctingEntry},App\Modules\Document\Presentation\Controllers\CorrectingEntryController,show,documents.correct,,,MIDDLEWARE,
POST,/api/v1/correcting-entries/{correctingEntry}/confirm,App\Modules\Document\Presentation\Controllers\CorrectingEntryController,confirm,documents.correct,,,MIDDLEWARE,
POST,/api/v1/correcting-entries/{correctingEntry}/post,App\Modules\Document\Presentation\Controllers\CorrectingEntryController,post,documents.correct,,,MIDDLEWARE,
DELETE,/api/v1/correcting-entries/{correctingEntry},App\Modules\Document\Presentation\Controllers\CorrectingEntryController,destroy,documents.correct,,,MIDDLEWARE,
GET|HEAD,/api/v1/documents/{document}/related,App\Modules\Document\Presentation\Controllers\DocumentController,related,documents.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/documents/{document}/tax-breakdown,App\Modules\Document\Presentation\Controllers\DocumentController,taxBreakdown,documents.view,,,MIDDLEWARE,
